Bot Name,Bot Nickname,Bot Difficulty,Bot Level,Assignment Status,Quest Name,Objective Name,Step Number,Start Time,End Time
Bot17,"alexkarpen",normal,8,Archived,"Capital Insight Cafe Camping","Capital Insight Cafe Camping: Objective #1","2","01:54:41","01:56:48",
Bot17,"alexkarpen",normal,8,Completed,"Capital Insight Quest Room Camping","Capital Insight Quest Room Camping: Objective #1","2","01:56:53","01:58:35",
Bot17,"alexkarpen",normal,8,Completed,"Capital Insight","Capital Insight: Objective #4","4","01:58:41","01:59:46",
Bot17,"alexkarpen",normal,8,Completed,"Capital Insight","Capital Insight: Objective #5","5","01:59:51","02:01:33",
Bot17,"alexkarpen",normal,8,Completed,"Capital Insight","Capital Insight: Objective #1","1","02:01:38","02:02:14",
Bot17,"alexkarpen",normal,8,Completed,"Capital Insight","Capital Insight: Objective #3","1","02:02:19","02:02:41",
Bot17,"alexkarpen",normal,8,Completed,"Capital Insight","Capital Insight: Objective #2","1","02:02:46","02:03:07",
Bot17,"alexkarpen",normal,8,Pending,"Tarbank Upstairs","Tarbank Upstairs: Objective #2","1","02:03:13","N/A",
Bot32,"Тихон Ресторатор (CreamCheese)",normal,1,Completed,"Skyside Hotel","Skyside Hotel: Objective #1","1","01:54:43","01:54:51",
Bot32,"Тихон Ресторатор (CreamCheese)",normal,1,Pending,"Skyside Hotel","Skyside Hotel: Objective #2","1","01:54:56","N/A",
