Bot Name,Bot Nickname,Bot Difficulty,Bot Level,Assignment Status,Quest Name,Objective Name,Step Number,Start Time,End Time
Bot21,"Clodan",normal,70,Archived,"North Construction Site","North Construction Site: Objective #3","1","00:12:33","00:14:44",
Bot21,"Clodan",normal,70,Archived,"North Construction Site","North Construction Site: Objective #1","1","00:14:50","00:16:01",
Bot21,"Clodan",normal,70,Archived,"North Construction Site","North Construction Site: Objective #2","1","00:16:06","00:16:37",
Bot21,"Clodan",normal,70,Completed,"IDEA Office","IDEA Office: Objective #1","2","00:16:42","00:18:11",
Bot21,"Clodan",normal,70,Completed,"IDEA Office","IDEA Office: Objective #3","1","00:18:16","00:18:34",
Bot21,"Clodan",normal,70,Completed,"IDEA Office","IDEA Office: Objective #2","3","00:18:39","00:19:24",
Bot21,"Clodan",normal,70,Failed,"Goshan Food Spawns","Goshan Food Spawns: Objective #2","1","00:19:29","00:21:09",
Bot21,"Clodan",normal,70,Pending,"Goshan Food Spawns","Goshan Food Spawns: Objective #3","1","00:21:14","N/A",
Bot21,"Clodan",normal,70,Pending,"Goshan Food Spawns","Goshan Food Spawns: Objective #1","1","00:22:32","N/A",
Bot21,"Clodan",normal,70,Completed,"Goshan Loading Corridor","Goshan Loading Corridor: Objective #7","1","00:22:52","00:23:33",
Bot21,"Clodan",normal,70,Completed,"Goshan Loading Corridor","Goshan Loading Corridor: Objective #6","1","00:23:38","00:23:47",
Bot21,"Clodan",normal,70,Completed,"Goshan Loading Corridor","Goshan Loading Corridor: Objective #5","1","00:23:52","00:24:10",
Bot21,"Clodan",normal,70,Completed,"Goshan Loading Corridor","Goshan Loading Corridor: Objective #3","1","00:24:15","00:24:29",
Bot21,"Clodan",normal,70,Completed,"Goshan Loading Corridor","Goshan Loading Corridor: Objective #4","1","00:24:34","00:24:44",
Bot21,"Clodan",normal,70,Completed,"Goshan Loading Corridor","Goshan Loading Corridor: Objective #2","1","00:24:49","00:25:01",
Bot21,"Clodan",normal,70,Completed,"Goshan Loading Corridor","Goshan Loading Corridor: Objective #1","1","00:25:06","00:25:16",
Bot21,"Clodan",normal,70,Active,"Provocation","Zone quest_zone_keeper6_safe_hide","1","00:25:21","N/A",
Bot23,"Vega",hard,57,Failed,"Hot Delivery","Zone place_merch_020_1","1","00:12:33","00:13:36",
Bot22,"btdc00",hard,17,Failed,"The Blood of War - Part 1","Zone place_WARBLOOD_04_3","1","00:12:33","00:13:08",
Bot22,"btdc00",hard,17,Failed,"The Blood of War - Part 1","Zone place_WARBLOOD_04_1","1","00:13:13","00:16:55",
Bot22,"btdc00",hard,17,Failed,"The Blood of War - Part 1","Zone place_WARBLOOD_04_2","1","00:17:00","00:20:32",
Bot31,"TR_LEOPAR",easy,55,Pending,"Railway Stashes","Railway Stashes: Objective #4","1","00:12:36","N/A",
Bot32,"Tyfon",easy,17,Pending,"Railway Area","Railway Area: Objective #1","1","00:12:36","N/A",
Bot33,"DannyR121",easy,27,Pending,"Informed Means Armed","Zone place_skier_11_3","1","00:12:36","N/A",
Bot30,"kwebber321",easy,61,Completed,"Railway Area","Railway Area: Objective #1","1","00:12:36","00:12:56",
Bot30,"kwebber321",easy,61,Completed,"Railway Area","Railway Area: Objective #2","1","00:13:01","00:18:38",
Bot30,"kwebber321",easy,61,Completed,"North Construction Site","North Construction Site: Objective #3","1","00:18:43","00:26:24",
Bot30,"kwebber321",easy,61,Completed,"North Construction Site","North Construction Site: Objective #1","1","00:26:29","00:26:33",
Bot30,"kwebber321",easy,61,Active,"North Construction Site","North Construction Site: Objective #2","1","00:26:38","N/A",
Bot35,"Паштет Костыль (GeorgRavioli)",normal,5,Pending,"OLI Back Storage","OLI Back Storage: Objective #2","1","00:12:36","N/A",
Bot39,"Прохор Патриарх (Stealthsuit)",easy,5,Failed,"IDEA Office","IDEA Office: Objective #1","1","00:13:20","00:13:37",
