Bot Name,Bot Nickname,Bot Difficulty,Bot Level,Assignment Status,Quest Name,Objective Name,Step Number,Start Time,End Time
Bot1,"ViolentAmbush",normal,13,Failed,"The Bunker - Part 1","Zone prapor_024_area_1","1","15:56:32","15:59:18",
Bot2,"Platinum",normal,19,Failed,"The Bunker - Part 2","Zone prapor_025_area_4","1","15:56:33","15:57:49",
Bot3,"Sharkota",normal,19,Completed,"The Bunker - Part 1","Zone prapor_024_area_2","1","15:56:34","15:59:40",
Bot3,"Sharkota",normal,19,Pending,"The Bunker - Part 1","Zone prapor_024_area_1","1","15:59:45","N/A",
Bot3,"Sharkota",normal,19,Completed,"Documents","Item Military documents #3","1","16:02:00","16:03:47",
Bot3,"Sharkota",normal,19,Failed,"Disease History","Item Medical record #2","1","16:03:52","16:05:13",
Bot3,"Sharkota",normal,19,Failed,"Disease History","Item Medical record #1","1","16:05:18","16:05:52",
Bot3,"Sharkota",normal,19,Completed,"The Bunker - Part 2","Zone prapor_025_area_1","1","16:05:57","16:06:50",
Bot5,"王哈桑ザ",normal,34,Failed,"Reserve","Zone huntsman_029","1","15:56:36","15:58:43",
Bot6,"ThurmanMurman",normal,7,Failed,"White Bishop","White Bishop: Objective #5","1","15:56:37","15:59:14",
Bot12,"Джонатан Летёха (NikitaWaifu)",normal,4,Failed,"White Pawn","White Pawn: Objective #3","1","15:56:43","15:56:49",
Bot12,"Джонатан Летёха (NikitaWaifu)",normal,4,Failed,"White Pawn","White Pawn: Objective #6","1","15:56:54","15:57:53",
Bot14,"Jeo",normal,72,Failed,"White Knight","White Knight: Objective #3","1","15:56:45","16:02:39",
Bot14,"Jeo",normal,72,Completed,"White Knight","White Knight: Objective #2","3","15:58:10","15:59:40",
Bot14,"Jeo",normal,72,Failed,"White Knight","White Knight: Objective #1","3","15:59:45","16:02:39",
Bot14,"Jeo",normal,72,Failed,"White Knight RB-MP22","White Knight RB-MP22: Objective #1","1","16:01:42","16:02:39",
Bot14,"Jeo",normal,72,Failed,"White Knight Rear Drop-Down","White Knight Rear Drop-Down: Objective #1","1","16:02:02","16:02:39",
Bot15,"YankeeNoodle742",normal,45,Failed,"Hermetic Depot","Hermetic Depot: Objective #8","1","15:56:46","16:10:26",
Bot15,"YankeeNoodle742",normal,45,Completed,"Hermetic Depot","Hermetic Depot: Objective #5","1","16:04:04","16:05:23",
Bot15,"YankeeNoodle742",normal,45,Failed,"Hermetic Depot","Hermetic Depot: Objective #4","1","16:05:28","16:10:26",
Bot19,"Баха Спартаковский (aburiu)",normal,4,Failed,"Black Pawn","Black Pawn: Objective #5","1","15:56:50","16:02:03",
