Bot Name,Bot Nickname,Bot Difficulty,Bot Level,Assignment Status,Quest Name,Objective Name,Step Number,Start Time,End Time
Bot19,"Tyrian",hard,1,Failed,"Luxurious Life","Item Bottle of Le Jean wine","1","02:46:31","02:48:11",
Bot20,"BlackDeathGER",hard,7,Completed,"Luxurious Life","Zone Sandbox_3_Vino_exploration","1","02:46:32","02:48:45",
Bot20,"BlackDeathGER",hard,7,Failed,"Underground Entrance","Underground Entrance: Objective #1","1","02:48:50","02:59:23",
Bot21,"MechanicMan396",easy,7,Failed,"Skyside Hotel","Skyside Hotel: Objective #2","1","02:46:32","02:51:25",
Bot22,"AlfaRenegade",easy,11,Completed,"Capital Insight","Capital Insight: Objective #5","5","02:46:32","02:47:57",
Bot22,"AlfaRenegade",easy,11,Failed,"Capital Insight","Capital Insight: Objective #4","3","02:48:02","02:51:00",
Bot23,"Митрофан Слоупок (Tariyihika)",easy,1,Completed,"Olive Restaurant","Olive Restaurant: Objective #3","1","02:46:32","02:47:58",
Bot23,"Митрофан Слоупок (Tariyihika)",easy,1,Completed,"Olive Restaurant","Olive Restaurant: Objective #5","1","02:48:03","02:48:42",
Bot23,"Митрофан Слоупок (Tariyihika)",easy,1,Failed,"Olive Restaurant","Olive Restaurant: Objective #6","1","02:48:47","02:51:30",
Bot24,"Ngst",hard,6,Failed,"Tarbank Upstairs","Tarbank Upstairs: Objective #1","1","02:46:32","02:48:04",
Bot25,"Holynevil",hard,11,Failed,"Saving the Mole","Zone Sandbox_5_Office_exploration","1","02:46:32","02:53:51",
Bot34,"Боря Седой (kwebber321)",normal,1,Failed,"Underground South","Underground South: Objective #2","1","02:47:37","02:47:40",
Bot34,"Боря Седой (kwebber321)",normal,1,Failed,"Underground South","Underground South: Objective #1","1","02:47:45","02:47:57",
