Bot Name,Bot Nickname,Bot Difficulty,Bot Level,Assignment Status,Quest Name,Objective Name,Step Number,Start Time,End Time
Bot1,"Alex",hard,54,Completed,"Short Cut","Short Cut: Objective #1","1","18:01:15","18:01:56",
Bot1,"Alex",hard,54,Failed,"The Courier","Zone mech_41_2","1","18:02:01","18:12:19",
Bot2,"Drill",easy,8,Completed,"Dorms 3 Story","Dorms 3 Story: Objective #6","1","18:01:15","18:02:33",
Bot2,"Drill",easy,8,Completed,"Dorms 3 Story","Dorms 3 Story: Objective #4","1","18:02:39","18:03:13",
Bot2,"Drill",easy,8,Completed,"Dorms 3 Story","Dorms 3 Story: Objective #1","1","18:03:18","18:03:31",
Bot2,"Drill",easy,8,Failed,"Dorms 3 Story","Dorms 3 Story: Objective #9","1","18:03:36","18:03:43",
Bot2,"Drill",easy,8,Completed,"Dorms 3 Story","Dorms 3 Story: Objective #2","1","18:03:48","18:04:11",
Bot2,"Drill",easy,8,Completed,"Dorms 3 Story","Dorms 3 Story: Objective #10","2","18:04:16","18:05:39",
Bot2,"Drill",easy,8,Completed,"Dorms 3 Story","Dorms 3 Story: Objective #5","1","18:05:44","18:05:55",
Bot2,"Drill",easy,8,Completed,"Dorms 3 Story","Dorms 3 Story: Objective #3","2","18:06:00","18:07:17",
Bot2,"Drill",easy,8,Failed,"Dorms 3 Story","Dorms 3 Story: Objective #11","1","18:07:22","18:07:39",
Bot2,"Drill",easy,8,Completed,"The Huntsman Path - Evil Watchman","Zone huntsman_020","1","18:07:44","18:07:58",
Bot2,"Drill",easy,8,Failed,"Golden Swag","Item Golden Zibbo lighter","1","18:08:03","18:08:10",
Bot2,"Drill",easy,8,Failed,"Golden Swag","Zone extraction_zone_zibbo","1","18:08:15","18:10:33",
Bot2,"Drill",easy,8,Failed,"Delivery From the Past","Item Secure Folder 0022","1","18:10:34","18:10:59",
Bot2,"Drill",easy,8,Failed,"BP Depot","Zone fuel4","1","18:11:04","18:11:49",
Bot2,"Drill",easy,8,Active,"BP Depot","Zone fuel2","1","18:11:54","N/A",
Bot6,"Эдуард Жиган (gasmo)",normal,5,Failed,"Short Cut","Short Cut: Objective #1","1","18:01:27","18:10:06",
Bot6,"Эдуард Жиган (gasmo)",normal,5,Failed,"Power Switch","Power Switch: Objective #1","1","18:10:11","18:10:13",
Bot6,"Эдуард Жиган (gasmo)",normal,5,Active,"Factory Shacks","Factory Shacks: Objective #1","1","18:10:14","N/A",
Bot13,"Bepis",normal,6,Failed,"BP Depot","Zone fuel1","1","18:01:27","18:09:21",
Bot14,"红衣抚琴染绛天涯",normal,62,Pending,"The Courier","Zone mech_41_2","1","18:01:28","N/A",
Bot10,"ShadowXtrex",normal,36,Failed,"Wanderer","Zone bomj_place","1","18:01:28","18:02:35",
Bot12,"OXIdiezd",normal,62,Pending,"The Courier","Zone mech_41_2","1","18:01:28","N/A",
Bot11,"TorturedChunk",normal,47,Failed,"Boss Hunter","Spawn Point (510.9 3.4 46.2)","1","18:01:28","18:05:50",
