Bot Name,Bot Nickname,Bot Difficulty,Bot Level,Assignment Status,Quest Name,Objective Name,Step Number,Start Time,End Time
Bot1,"hughz001",normal,52,Failed,"Spawn Rush","Spawn Rush: Objective #1","1","19:00:26","19:01:02",
Bot2,"AcidPhantasm",normal,12,Failed,"Sanitary Standards - Part 1","Zone pumproom","1","19:00:26","19:01:18",
Bot5,"reider123",normal,52,Failed,"3rd Floor Office Rush","3rd Floor Office Rush: Objective #2","1","19:00:30","19:02:34",
Bot5,"reider123",normal,52,Failed,"3rd Floor Office Rush","3rd Floor Office Rush: Objective #1","1","19:00:45","19:02:34",
Bot6,"Leonana69",normal,78,Failed,"Crates Outside of Scav Bunker","Crates Outside of Scav Bunker: Objective #1","1","19:00:31","19:01:44",
Bot14,"Эдуард Люгер (Doge)",normal,5,Active,"Basement Crates","Basement Crates: Objective #2","1","19:06:33","N/A",
