Bot Name,Bot Nickname,Bot Difficulty,Bot Level,Assignment Status,Quest Name,Objective Name,Step Number,Start Time,End Time
Bot1,"XkaOnslaught",normal,9,Failed,"Black Bishop Roof","Black Bishop Roof: Objective #1","1","23:41:35","23:44:09",
Bot2,"BrandoTheDev",normal,2,Active,"Dome Buildings","Dome Buildings: Objective #1","3","23:41:35","N/A",
Bot3,"Тимофей Гефорс (Massivesoft)",normal,1,Completed,"White Rook North Tank","White Rook North Tank: Objective #1","1","23:41:35","23:41:42",
Bot3,"Тимофей Гефорс (Massivesoft)",normal,1,Completed,"Knight Garages","Knight Garages: Objective #2","1","23:41:47","23:42:33",
Bot3,"Тимофей Гефорс (Massivesoft)",normal,1,Failed,"Knight Garages","Knight Garages: Objective #1","1","23:42:39","23:45:57",
Bot5,"Павел Бэн (Agnotology)",normal,1,Failed,"Black Bishop Underground","Black Bishop Underground: Objective #4","1","23:41:36","23:41:36",
Bot5,"Павел Бэн (Agnotology)",normal,1,Completed,"Black Bishop Underground","Black Bishop Underground: Objective #2","1","23:41:41","23:46:55",
Bot5,"Павел Бэн (Agnotology)",normal,1,Active,"White King","White King: Objective #2","1","23:47:00","N/A",
Bot8,"aleves",normal,7,Failed,"Black Bishop","Black Bishop: Objective #5","1","23:41:37","23:45:56",
Bot9,"jfetko",normal,11,Pending,"Command Center Rush","Command Center Rush: Objective #2","1","23:41:37","N/A",
Bot10,"Security-Sama",normal,16,Failed,"Surplus Goods","Item MBT Integrated Navigation System","1","23:41:37","23:41:56",
Bot10,"Security-Sama",normal,16,Completed,"A Fuel Matter","Zone baraholshik_fuel_area_2","1","23:42:01","23:44:39",
Bot10,"Security-Sama",normal,16,Active,"A Fuel Matter","Zone baraholshik_fuel_area_3","1","23:44:44","N/A",
Bot11,"agavalda",normal,9,Completed,"NW Bunkers","NW Bunkers: Objective #1","1","23:41:37","23:41:41",
Bot11,"agavalda",normal,9,Pending,"NW Bunkers","NW Bunkers: Objective #2","1","23:41:46","N/A",
