Bot Name,Bot Nickname,Bot Difficulty,Bot Level,Assignment Status,Quest Name,Objective Name,Step Number,Start Time,End Time
Bot1,"jbs4bmx",normal,11,Failed,"Capital Insight","Capital Insight: Objective #5","1","20:30:32","20:31:27",
Bot2,"Amands2Mello",normal,7,Failed,"Capital Insight","Capital Insight: Objective #5","1","20:30:33","20:35:38",
Bot3,"PoppleO",normal,1,Failed,"Shooting Cans","Zone Sandbox_2_AGS_exploration","1","20:30:34","20:31:44",
Bot4,"Ninjaweb",normal,11,Failed,"Capital Insight Sniping","Capital Insight Sniping: Objective #1","2","20:30:35","20:30:49",
Bot5,"!Komino Style!",normal,14,Completed,"Shooting Cans","Zone Sandbox_2_AGS_exploration","1","20:30:36","20:30:39",
Bot5,"!Komino Style!",normal,14,Failed,"Shooting Cans","Zone Sandbox_2_Kord_exploration","1","20:30:44","20:34:11",
Bot6,"Sarix",normal,4,Active,"Shooting Cans","Zone Sandbox_2_Kord_exploration","1","20:30:37","N/A",
Bot10,"Аристарх Ключ-на-9 (GGaulin)",normal,1,Failed,"Capital Insight","Capital Insight: Objective #4","1","20:30:41","20:33:05",
Bot12,"Деня Мочалка (TonioX)",normal,1,Failed,"Olive Restaurant","Olive Restaurant: Objective #6","1","20:30:43","20:30:53",
Bot16,"Серега Трансформатор (Clodan)",normal,1,Failed,"Underground Utility Room","Underground Utility Room: Objective #1","1","20:30:48","20:34:12",
