Bot Name,Bot Nickname,Bot Difficulty,Bot Level,Assignment Status,Quest Name,Objective Name,Step Number,Start Time,End Time
Bot23,"Dueleus",normal,27,Failed,"Inventory Check","Zone baraholshik_arsenal_area_3","1","18:24:19","18:24:38",
Bot23,"Dueleus",normal,27,Failed,"Inventory Check","Zone baraholshik_arsenal_area_5","1","18:24:43","18:29:32",
Bot24,"AcidPhantasm",normal,21,Failed,"Pest Control","Zone eger_barracks_area_1","1","18:24:21","18:34:15",
Bot25,"Claus1978",normal,25,Failed,"The Bunker - Part 1","Zone prapor_024_area_2","1","18:24:22","18:31:42",
Bot27,"jfetko",normal,19,Pending,"Revision - Reserve","Zone tadeush_bmp2_area_check_12","1","18:24:24","N/A",
Bot27,"jfetko",normal,19,Pending,"Revision - Reserve","Zone tadeush_bmp2_area_mark_12","1","18:25:56","N/A",
Bot27,"jfetko",normal,19,Failed,"Revision - Reserve","Zone tadeush_bmp2_area_check_11","1","18:26:16","18:28:48",
Bot27,"jfetko",normal,19,Failed,"Revision - Reserve","Zone tadeush_bmp2_area_mark_11","1","18:28:53","18:30:00",
Bot27,"jfetko",normal,19,Failed,"Revision - Reserve","Zone tadeush_bmp2_area_check_13","1","18:30:05","18:31:28",
Bot27,"jfetko",normal,19,Failed,"Revision - Reserve","Zone tadeush_bmp2_area_mark_13","1","18:31:33","18:31:55",
Bot27,"jfetko",normal,19,Failed,"Revision - Reserve","Zone tadeush_stryker_area_check_4","1","18:32:00","18:32:17",
Bot27,"jfetko",normal,19,Failed,"Revision - Reserve","Zone tadeush_bmp2_area_check_2","1","18:32:22","18:32:22",
Bot36,"Logical Solutions",normal,64,Failed,"Hermetic","Hermetic: Objective #2","1","18:24:33","18:29:50",
Bot37,"Cheese",normal,55,Failed,"White King","White King: Objective #3","1","18:24:34","18:25:03",
Bot38,"riku8405",normal,5,Failed,"Black Bishop Tech Room","Black Bishop Tech Room: Objective #1","1","18:24:35","18:28:26",
Bot40,"Кися Кабан (Goewert)",normal,4,Failed,"Dome Buildings","Dome Buildings: Objective #3","1","18:24:37","18:33:02",
Bot40,"Кися Кабан (Goewert)",normal,4,Failed,"Dome Buildings","Dome Buildings: Objective #2","1","18:33:07","18:33:24",
Bot40,"Кися Кабан (Goewert)",normal,4,Failed,"Dome Buildings","Dome Buildings: Objective #1","1","18:33:29","18:33:29",
Bot40,"Кися Кабан (Goewert)",normal,4,Failed,"Dome Buildings","Dome Buildings: Objective #6","1","18:33:35","18:33:58",
Bot40,"Кися Кабан (Goewert)",normal,4,Failed,"Dome Buildings","Dome Buildings: Objective #5","1","18:34:03","18:34:03",
Bot40,"Кися Кабан (Goewert)",normal,4,Failed,"Dome Buildings","Dome Buildings: Objective #9","1","18:34:08","18:34:21",
Bot40,"Кися Кабан (Goewert)",normal,4,Failed,"Dome Buildings","Dome Buildings: Objective #8","1","18:34:26","18:34:26",
Bot40,"Кися Кабан (Goewert)",normal,4,Failed,"Dome Buildings","Dome Buildings: Objective #7","1","18:34:31","18:34:43",
Bot44,"Витёк Мурманский (Shiro-chan)",normal,4,Completed,"Hermetic Depot","Hermetic Depot: Objective #6","1","18:24:41","18:31:01",
Bot44,"Витёк Мурманский (Shiro-chan)",normal,4,Completed,"Hermetic Depot","Hermetic Depot: Objective #4","1","18:31:06","18:31:22",
Bot44,"Витёк Мурманский (Shiro-chan)",normal,4,Failed,"Hermetic Depot","Hermetic Depot: Objective #7","1","18:31:27","18:32:22",
Bot44,"Витёк Мурманский (Shiro-chan)",normal,4,Failed,"Hermetic Depot","Hermetic Depot: Objective #1","1","18:32:27","18:32:27",
Bot44,"Витёк Мурманский (Shiro-chan)",normal,4,Failed,"Hermetic Depot","Hermetic Depot: Objective #3","1","18:32:32","18:32:34",
Bot44,"Витёк Мурманский (Shiro-chan)",normal,4,Failed,"Hermetic Depot","Hermetic Depot: Objective #2","1","18:32:39","18:32:39",
Bot44,"Витёк Мурманский (Shiro-chan)",normal,4,Failed,"Hermetic Depot","Hermetic Depot: Objective #8","1","18:32:44","18:32:44",
Bot44,"Витёк Мурманский (Shiro-chan)",normal,4,Failed,"Hermetic Depot","Hermetic Depot: Objective #5","1","18:32:49","18:32:49",
Bot44,"Витёк Мурманский (Shiro-chan)",normal,4,Failed,"D2 Switch","D2 Switch: Objective #1","1","18:32:54","18:32:54",
Bot44,"Витёк Мурманский (Shiro-chan)",normal,4,Failed,"Command Center","Command Center: Objective #1","1","18:32:56","18:32:56",
Bot47,"Зураб Сега (AshleyShcaefferBMW)",normal,4,Completed,"Train Yard Bunker Entrance","Train Yard Bunker Entrance: Objective #1","1","18:24:44","18:24:54",
