Bot Name,Bot Nickname,Bot Difficulty,Bot Level,Assignment Status,Quest Name,Objective Name,Step Number,Start Time,End Time
Bot1,"王哈桑ザ",normal,3,Failed,"Shooting Cans","Zone Sandbox_2_AGS_exploration","1","21:12:42","21:14:45",
Bot2,"PudgeNubbins",normal,11,Failed,"Capital Insight","Capital Insight: Objective #5","1","21:12:42","21:12:53",
Bot3,"jbs4bmx",normal,10,Failed,"Capital Insight Sniping","Capital Insight Sniping: Objective #1","1","21:12:44","21:16:25",
Bot4,"rozema",normal,12,Failed,"Safe outside of Giovanni Teducci","Safe outside of Giovanni Teducci: Objective #1","1","21:12:44","21:13:28",
Bot5,"T90Commander",normal,12,Failed,"Shooting Cans","Zone Sandbox_2_AGS_exploration","1","21:12:46","21:13:32",
Bot6,"ViolentAmbush",normal,7,Failed,"Shooting Cans","Zone Sandbox_2_AGS_exploration","1","21:12:46","21:13:48",
Bot15,"Валя Бородач (ODT)",normal,1,Completed,"Underground South","Underground South: Objective #3","2","21:12:56","21:13:14",
Bot15,"Валя Бородач (ODT)",normal,1,Completed,"Underground South","Underground South: Objective #4","1","21:13:19","21:13:35",
Bot15,"Валя Бородач (ODT)",normal,1,Completed,"Underground South","Underground South: Objective #2","1","21:13:40","21:14:02",
Bot15,"Валя Бородач (ODT)",normal,1,Completed,"Underground South","Underground South: Objective #1","1","21:14:08","21:14:29",
Bot15,"Валя Бородач (ODT)",normal,1,Failed,"Kyshperski","Kyshperski: Objective #3","1","21:14:34","21:18:32",
Bot17,"Марк Метанол (Tyfon)",normal,1,Failed,"Underground North","Underground North: Objective #3","1","21:12:57","21:12:58",
Bot17,"Марк Метанол (Tyfon)",normal,1,Failed,"Underground North","Underground North: Objective #4","1","21:13:04","21:13:19",
Bot17,"Марк Метанол (Tyfon)",normal,1,Pending,"Underground North","Underground North: Objective #5","1","21:13:25","N/A",
Bot17,"Марк Метанол (Tyfon)",normal,1,Pending,"Underground North","Underground North: Objective #6","1","21:15:33","N/A",
Bot17,"Марк Метанол (Tyfon)",normal,1,Completed,"Underground North","Underground North: Objective #8","1","21:15:53","21:17:12",
Bot17,"Марк Метанол (Tyfon)",normal,1,Completed,"Underground North","Underground North: Objective #7","2","21:17:17","21:18:01",
Bot17,"Марк Метанол (Tyfon)",normal,1,Pending,"Tarbank Upstairs","Tarbank Upstairs: Objective #3","2","21:18:06","N/A",
