Bot Name,Bot Nickname,Bot Difficulty,Bot Level,Assignment Status,Quest Name,Objective Name,Step Number,Start Time,End Time
Bot33,"alexkarpen",normal,10,Completed,"Safe outside of Giovanni Teducci","Safe outside of Giovanni Teducci: Objective #1","1","02:09:33","02:13:43",
Bot33,"alexkarpen",normal,10,Failed,"Shooting Cans","Zone Sandbox_2_AGS_exploration","1","02:13:48","02:14:49",
Bot38,"Святополк Ковальски (5o2)",normal,1,Pending,"Capital Insight","Capital Insight: Objective #4","1","02:09:34","N/A",
Bot39,"Waffle",normal,8,Failed,"Capital Insight","Capital Insight: Objective #4","1","02:09:34","02:10:52",
Bot40,"NastyInc",normal,10,Failed,"Capital Insight","Capital Insight: Objective #4","1","02:09:34","02:09:45",
