Bot Name,Bot Nickname,Bot Difficulty,Bot Level,Assignment Status,Quest Name,Objective Name,Step Number,Start Time,End Time
Bot2,"Klinical",hard,14,Failed,"Cargo X - Part 2","Item Secure Folder 0013","1","00:21:17","00:30:45",
Bot1,"Hobbes",hard,39,Completed,"Wanderer","Zone bomj_place","2","00:21:17","00:21:30",
Bot1,"Hobbes",hard,39,Completed,"Factory Far Corner","Factory Far Corner: Objective #1","1","00:21:35","00:24:18",
Bot1,"Hobbes",hard,39,Completed,"Glass Building","Glass Building: Objective #2","1","00:24:23","00:25:07",
Bot1,"Hobbes",hard,39,Completed,"Glass Building","Glass Building: Objective #3","2","00:25:12","00:25:40",
Bot1,"Hobbes",hard,39,Completed,"Glass Building","Glass Building: Objective #1","1","00:25:45","00:26:01",
Bot1,"Hobbes",hard,39,Completed,"Glass Building","Glass Building: Objective #4","1","00:26:07","00:26:28",
Bot1,"Hobbes",hard,39,Completed,"Flash-Drive Van","Flash-Drive Van: Objective #1","1","00:26:33","00:35:46",
Bot1,"Hobbes",hard,39,Failed,"New Gas","New Gas: Objective #1","1","00:35:51","00:37:06",
Bot6,"Радж Ебучий (Dueleus)",easy,5,Failed,"Scav Checkpoint","Scav Checkpoint: Objective #1","1","00:21:20","00:26:00",
Bot11,"Авдей Сильвестр (BlackDeathGER)",hard,5,Pending,"Fortress","Fortress: Objective #3","1","00:21:46","N/A",
Bot15,"Ботир Окурок (FlashMode)",easy,5,Pending,"Crackhouse","Crackhouse: Objective #2","1","00:24:24","N/A",
Bot16,"Гоша Щур (Ngst)",easy,5,Pending,"Dorms 3 Story","Dorms 3 Story: Objective #4","1","00:24:24","N/A",
Bot23,"Глеб Сильвестр (XkaOnslaught)",normal,5,Failed,"RUAF Checkpoint","RUAF Checkpoint: Objective #1","1","00:27:24","00:33:38",
Bot27,"Руся Новогодний (gaylatea)",normal,5,Failed,"Short Cut","Short Cut: Objective #1","1","00:28:41","00:29:07",
Bot31,"Agnotology",normal,65,Completed,"Short Cut","Short Cut: Objective #1","1","00:29:38","00:37:35",
Bot31,"Agnotology",normal,65,Pending,"The Courier","Zone mech_41_2","1","00:37:40","N/A",
Bot32,"VIPkiller17",normal,21,Failed,"Short Cut","Short Cut: Objective #1","1","00:29:39","00:36:19",
Bot29,"ChiNoel",normal,62,Failed,"The Courier","Zone mech_41_2","1","00:29:39","00:31:44",
Bot34,"_物是人非",easy,56,Completed,"Bus Terminal","Bus Terminal: Objective #1","1","00:29:39","00:30:00",
Bot34,"_物是人非",easy,56,Failed,"Factory Shacks","Factory Shacks: Objective #1","1","00:30:05","00:30:29",
Bot30,"savid_dubs",normal,43,Pending,"Old Gas","Old Gas: Objective #2","1","00:29:39","N/A",
Bot33,"Echo55",normal,72,Completed,"Container Building","Container Building: Objective #1","1","00:29:39","00:29:42",
Bot33,"Echo55",normal,72,Failed,"Container Building","Container Building: Objective #2","1","00:29:47","00:33:47",
Bot35,"Fontaine",normal,64,Failed,"The Courier","Zone mech_41_1","1","00:30:58","00:32:26",
Bot35,"Fontaine",normal,64,Failed,"The Courier","Zone mech_41_2","1","00:31:20","00:32:26",
Bot38,"Fin",normal,50,Failed,"Giving Tree","Giving Tree: Objective #1","1","00:30:58","00:35:08",
Bot37,"Victor_Two",normal,55,Failed,"The Courier","Zone mech_41_1","1","00:30:59","00:37:06",
Bot36,"NORVINSK_EVANGELION",normal,22,Failed,"Crackhouse","Crackhouse: Objective #2","1","00:30:59","00:36:09",
