Bot Name,Bot Nickname,Bot Difficulty,Bot Level,Assignment Status,Quest Name,Objective Name,Step Number,Start Time,End Time
Bot47,"MadDutch",normal,16,Failed,"Scav Base","Scav Base: Objective #2","4","03:42:39","03:45:37",
Bot51,"SovietWalrus",hard,3,Pending,"Old Sawmill","Old Sawmill: Objective #1","1","03:42:43","N/A",
Bot50,"jbs4bmx",hard,22,Pending,"Old Sawmill","Old Sawmill: Objective #1","1","03:42:43","N/A",
Bot52,"Tron",hard,12,Pending,"Scav Town Sniping","Scav Town Sniping: Objective #3","1","03:42:43","N/A",
Bot49,"AshleyShcaefferBMW",hard,14,Completed,"Scav Base","Scav Base: Objective #2","4","03:42:43","03:46:53",
Bot49,"AshleyShcaefferBMW",hard,14,Completed,"Scav Base","Scav Base: Objective #3","1","03:46:58","03:47:16",
Bot49,"AshleyShcaefferBMW",hard,14,Completed,"Scav Base","Scav Base: Objective #4","2","03:47:21","03:48:12",
Bot49,"AshleyShcaefferBMW",hard,14,Completed,"Scav Base","Scav Base: Objective #1","3","03:48:17","03:48:57",
Bot57,"Филат Сявка (K4_a)",hard,1,Pending,"Old Sawmill","Old Sawmill: Objective #1","1","03:46:00","N/A",
Bot60,"Dueleus",easy,1,Pending,"Scav Town","Scav Town: Objective #2","1","03:46:53","N/A",
Bot59,"epidemicz",easy,13,Active,"Old Sawmill","Old Sawmill: Objective #3","1","03:46:53","N/A",
Bot62,"Massivesoft",easy,9,Active,"Scav Base","Scav Base: Objective #2","1","03:47:53","N/A",
