Bot Name,Bot Nickname,Bot Difficulty,Bot Level,Assignment Status,Quest Name,Objective Name,Step Number,Start Time,End Time
Bot84,"DjLang",normal,15,Active,"Inventory Check","Zone baraholshik_arsenal_area_4","1","01:03:26","N/A",
Bot85,"Floppa",normal,28,Pending,"Pest Control","Zone eger_barracks_area_1","1","01:03:26","N/A",
Bot87,"Радик Газобетон (ChiNoel)",normal,4,Completed,"Black Pawn","Black Pawn: Objective #7","1","01:03:33","01:03:56",
Bot87,"Радик Газобетон (ChiNoel)",normal,4,Failed,"Black Pawn","Black Pawn: Objective #10","1","01:04:01","01:04:15",
Bot87,"Радик Газобетон (ChiNoel)",normal,4,Completed,"Black Pawn","Black Pawn: Objective #4","1","01:04:20","01:04:34",
Bot87,"Радик Газобетон (ChiNoel)",normal,4,Failed,"Black Pawn","Black Pawn: Objective #9","1","01:04:39","01:06:54",
Bot92,"Мстислав Всемогущий (McDewgle)",normal,4,Pending,"Command Center","Command Center: Objective #9","1","01:03:34","N/A",
Bot96,"Colonel",normal,35,Failed,"Pest Control","Zone eger_barracks_area_2","1","01:04:15","01:06:20",
Bot95,"LimboFPS",normal,48,Active,"Black Bishop","Black Bishop: Objective #5","1","01:04:15","N/A",
