Bot Name,Bot Nickname,Bot Difficulty,Bot Level,Assignment Status,Quest Name,Objective Name,Step Number,Start Time,End Time
Bot20,"TR_LEOPAR",easy,1,Completed,"Convenience Store House","Convenience Store House: Objective #1","7","23:00:23","23:03:08",
Bot20,"TR_LEOPAR",easy,1,Completed,"Resort Sniping","Resort Sniping: Objective #1","2","23:03:13","23:07:00",
Bot20,"TR_LEOPAR",easy,1,Active,"Resort Sniping","Resort Sniping: Objective #3","2","23:07:01","N/A",
Bot24,"Klinical",hard,21,Pending,"Reconnaissance","Zone qlight_extension_prapor1_exploration3","1","23:00:29","N/A",
Bot25,"Bobitec",hard,9,Failed,"Make Amends","Item Secure Flash drive V3","1","23:00:29","23:05:27",
Bot31,"Kronzky",hard,15,Completed,"Helicopter Crash Armchair","Helicopter Crash Armchair: Objective #1","1","23:00:41","23:02:04",
Bot31,"Kronzky",hard,15,Failed,"Boss Hunter","Spawn Point (-71.8 39.2 451.1)","1","23:02:09","23:03:10",
Bot31,"Kronzky",hard,15,Failed,"Boss Hunter","Spawn Point (-58.0 39.5 459.4)","1","23:03:15","23:03:45",
Bot31,"Kronzky",hard,15,Pending,"Boss Hunter","Spawn Point (-84.9 17.0 20.1)","1","23:03:50","N/A",
Bot31,"Kronzky",hard,15,Pending,"Boss Hunter","Spawn Point (-81.0 16.5 19.3)","1","23:06:58","N/A",
Bot31,"Kronzky",hard,15,Active,"Boss Hunter","Spawn Point (-73.2 11.5 4.5)","1","23:07:18","N/A",
Bot32,"Colonel",hard,23,Pending,"Long Road","Zone qlight_br_secure_road","1","23:00:41","N/A",
Bot33,"Tariyihika",normal,10,Completed,"Fishing Huts","Fishing Huts: Objective #3","1","23:00:46","23:00:53",
Bot33,"Tariyihika",normal,10,Completed,"Fishing Huts","Fishing Huts: Objective #2","1","23:00:59","23:01:34",
Bot33,"Tariyihika",normal,10,Completed,"Fishing Huts","Fishing Huts: Objective #1","1","23:01:39","23:02:13",
Bot33,"Tariyihika",normal,10,Active,"Bridge Road Intersection","Bridge Road Intersection: Objective #1","1","23:02:18","N/A",
Bot35,"XkaOnslaught",normal,18,Pending,"Revision - Lighthouse","Zone qlight_mark_vech3","1","23:00:46","N/A",
Bot36,"Anthal",normal,13,Pending,"Stage","Stage: Objective #2","1","23:00:46","N/A",
Bot34,"Bepis",normal,19,Pending,"Stage Wagon","Stage Wagon: Objective #1","1","23:00:46","N/A",
