Bot Name,Bot Nickname,Bot Difficulty,Bot Level,Assignment Status,Quest Name,Objective Name,Step Number,Start Time,End Time
Bot60,"ShadowXtrex",easy,69,Failed,"Boss Hunter","Spawn Point (-4.5 23.9 -58.9)","1","01:11:44","01:12:07",
Bot59,"Traveler",easy,71,Failed,"First in Line","Zone Sandbox_1_MedicalArea_exploration","1","01:11:44","01:12:04",
Bot59,"Traveler",easy,71,Failed,"Spawn Rush","Spawn Rush: Objective #1","1","01:12:09","01:13:11",
Bot61,"Revingly",easy,50,Failed,"Saving the Mole","Zone Sandbox_5_DeadGroup_exploration","1","01:11:44","01:13:10",
Bot62,"Сёма Наушник (野猪)",normal,5,Completed,"Olive Restaurant","Olive Restaurant: Objective #5","1","01:11:44","01:12:20",
Bot62,"Сёма Наушник (野猪)",normal,5,Failed,"Olive Restaurant","Olive Restaurant: Objective #4","1","01:12:25","01:12:52",
Bot62,"Сёма Наушник (野猪)",normal,5,Completed,"Olive Restaurant","Olive Restaurant: Objective #3","1","01:12:57","01:13:02",
Bot62,"Сёма Наушник (野猪)",normal,5,Completed,"Olive Restaurant","Olive Restaurant: Objective #2","2","01:13:07","01:17:37",
Bot62,"Сёма Наушник (野猪)",normal,5,Failed,"Underground North","Underground North: Objective #8","1","01:17:42","01:18:50",
Bot62,"Сёма Наушник (野猪)",normal,5,Failed,"Underground North","Underground North: Objective #6","1","01:18:55","01:19:15",
Bot62,"Сёма Наушник (野猪)",normal,5,Failed,"Underground North","Underground North: Objective #5","1","01:19:20","01:20:46",
Bot63,"Арни Упругий (HiddenCirno)",hard,5,Failed,"Tarbank Upstairs","Tarbank Upstairs: Objective #3","1","01:11:44","01:27:49",
Bot63,"Арни Упругий (HiddenCirno)",hard,5,Completed,"Tarbank Upstairs","Tarbank Upstairs: Objective #2","1","01:13:26","01:13:48",
Bot63,"Арни Упругий (HiddenCirno)",hard,5,Completed,"Tarbank Upstairs","Tarbank Upstairs: Objective #4","3","01:13:53","01:16:56",
Bot63,"Арни Упругий (HiddenCirno)",hard,5,Completed,"Tarbank Upstairs","Tarbank Upstairs: Objective #1","1","01:17:01","01:17:45",
Bot63,"Арни Упругий (HiddenCirno)",hard,5,Completed,"Tarbank","Tarbank: Objective #2","1","01:17:50","01:18:12",
Bot63,"Арни Упругий (HiddenCirno)",hard,5,Completed,"Tarbank","Tarbank: Objective #1","1","01:18:18","01:18:38",
Bot63,"Арни Упругий (HiddenCirno)",hard,5,Completed,"Tarbank","Tarbank: Objective #6","1","01:18:43","01:18:46",
Bot63,"Арни Упругий (HiddenCirno)",hard,5,Completed,"Tarbank","Tarbank: Objective #4","1","01:18:52","01:18:57",
Bot63,"Арни Упругий (HiddenCirno)",hard,5,Failed,"Tarbank","Tarbank: Objective #5","1","01:19:02","01:19:17",
Bot63,"Арни Упругий (HiddenCirno)",hard,5,Completed,"Tarbank","Tarbank: Objective #3","1","01:19:22","01:19:53",
Bot63,"Арни Упругий (HiddenCirno)",hard,5,Failed,"Olive Restaurant","Olive Restaurant: Objective #3","1","01:19:58","01:27:49",
Bot72,"Самуил Ветчина (halik92)",easy,5,Failed,"TerraGroup Office Upstairs","TerraGroup Office Upstairs: Objective #9","1","01:12:32","01:15:44",
