Bot Name,Bot Nickname,Bot Difficulty,Bot Level,Assignment Status,Quest Name,Objective Name,Step Number,Start Time,End Time
Bot19,"savid_dubs",normal,5,Failed,"Capital Insight","Capital Insight: Objective #5","1","02:56:03","02:56:14",
Bot21,"Crow",normal,1,Failed,"Olive Restaurant","Olive Restaurant: Objective #3","1","02:56:03","02:56:31",
Bot20,"archon0ne",normal,13,Failed,"Kyshperski","Kyshperski: Objective #3","1","02:56:03","02:56:28",
Bot22,"toaddsworth",normal,6,Failed,"Shooting Cans","Zone Sandbox_2_AGS_exploration","1","02:56:03","02:57:21",
Bot28,"aleves",normal,12,Failed,"Shooting Cans","Zone Sandbox_2_AGS_exploration","1","02:56:04","02:58:38",
Bot27,"Vega",normal,4,Completed,"Shooting Cans","Zone Sandbox_2_AGS_exploration","1","02:56:04","02:56:08",
Bot27,"Vega",normal,4,Failed,"Shooting Cans","Zone Sandbox_2_Kord_exploration","1","02:56:13","02:59:55",
