Bot Name,Bot Nickname,Bot Difficulty,Bot Level,Assignment Status,Quest Name,Objective Name,Step Number,Start Time,End Time
Bot36,"NastyInc",hard,9,Failed,"BP Depot","Zone fuel3","1","20:47:56","20:57:35",
Bot36,"NastyInc",hard,9,Failed,"BP Depot","Zone fuel1","1","20:57:40","20:58:34",
Bot36,"NastyInc",hard,9,Failed,"BP Depot","Zone fuel2","1","20:58:39","20:59:05",
Bot36,"NastyInc",hard,9,Failed,"BP Depot","Zone fuel4","1","20:59:11","21:04:16",
Bot36,"NastyInc",hard,9,Completed,"Storage","Storage: Objective #6","1","21:04:21","21:05:19",
Bot36,"NastyInc",hard,9,Completed,"Storage","Storage: Objective #7","1","21:05:24","21:05:48",
Bot36,"NastyInc",hard,9,Completed,"Storage","Storage: Objective #5","1","21:05:53","21:06:18",
Bot36,"NastyInc",hard,9,Completed,"Storage","Storage: Objective #4","1","21:06:23","21:06:31",
Bot36,"NastyInc",hard,9,Completed,"Storage","Storage: Objective #3","1","21:06:36","21:06:54",
Bot36,"NastyInc",hard,9,Completed,"Storage","Storage: Objective #2","1","21:06:59","21:07:07",
Bot36,"NastyInc",hard,9,Completed,"Storage","Storage: Objective #1","1","21:07:12","21:07:27",
Bot36,"NastyInc",hard,9,Completed,"Big Red","Big Red: Objective #4","1","21:07:32","21:08:47",
Bot36,"NastyInc",hard,9,Completed,"Big Red","Big Red: Objective #1","1","21:08:52","21:09:04",
Bot36,"NastyInc",hard,9,Completed,"Big Red","Big Red: Objective #5","1","21:09:09","21:09:32",
Bot36,"NastyInc",hard,9,Completed,"Big Red","Big Red: Objective #3","1","21:09:37","21:09:58",
Bot36,"NastyInc",hard,9,Completed,"Big Red","Big Red: Objective #2","1","21:10:04","21:10:22",
Bot36,"NastyInc",hard,9,Completed,"South Shack by Big Red","South Shack by Big Red: Objective #1","1","21:10:27","21:11:04",
Bot36,"NastyInc",hard,9,Completed,"Trailer Park Cabin","Trailer Park Cabin: Objective #1","1","21:11:09","21:12:25",
Bot36,"NastyInc",hard,9,Failed,"Crackhouse","Crackhouse: Objective #6","1","21:12:30","21:15:06",
Bot36,"NastyInc",hard,9,Completed,"Crackhouse","Crackhouse: Objective #7","1","21:15:12","21:17:20",
Bot35,"snapple",hard,5,Failed,"Fortress","Fortress: Objective #5","1","20:47:56","20:55:17",
Bot37,"MissingInAction",hard,17,Pending,"Boss Hunter","Spawn Point (310.7 1.3 -157.0)","1","20:47:56","N/A",
Bot40,"nooky",normal,1,Failed,"Power Switch","Power Switch: Objective #1","1","20:47:56","20:51:16",
Bot39,"igorir3",normal,23,Failed,"Tigr Safari","Zone place_peacemaker_002_N1","1","20:47:57","20:53:28",
Bot41,"BlackDeathGER",normal,6,Failed,"Bad Rep Evidence","Item Secure Folder 0031","1","20:47:57","20:52:31",
Bot41,"BlackDeathGER",normal,6,Failed,"BP Depot","Zone fuel2","1","20:52:37","20:52:53",
Bot41,"BlackDeathGER",normal,6,Failed,"BP Depot","Zone fuel3","1","20:52:58","20:56:11",
Bot38,"HB",normal,20,Failed,"Big Customer","Zone gazel","1","20:47:57","20:51:36",
Bot54,"Ромчик Костолом (HiddenCirno)",hard,1,Completed,"Fortress","Fortress: Objective #3","1","20:56:31","20:57:34",
Bot54,"Ромчик Костолом (HiddenCirno)",hard,1,Completed,"Fortress","Fortress: Objective #2","1","20:57:39","20:57:58",
Bot54,"Ромчик Костолом (HiddenCirno)",hard,1,Completed,"Fortress","Fortress: Objective #8","3","20:58:03","20:58:50",
Bot54,"Ромчик Костолом (HiddenCirno)",hard,1,Completed,"Fortress","Fortress: Objective #1","1","20:58:56","20:59:06",
Bot54,"Ромчик Костолом (HiddenCirno)",hard,1,Completed,"Fortress","Fortress: Objective #6","1","20:59:11","20:59:29",
Bot54,"Ромчик Костолом (HiddenCirno)",hard,1,Completed,"Fortress","Fortress: Objective #9","4","20:59:34","21:00:56",
Bot54,"Ромчик Костолом (HiddenCirno)",hard,1,Completed,"Fortress","Fortress: Objective #4","1","21:01:01","21:01:28",
Bot54,"Ромчик Костолом (HiddenCirno)",hard,1,Completed,"Fortress","Fortress: Objective #7","1","21:01:33","21:01:55",
Bot54,"Ромчик Костолом (HiddenCirno)",hard,1,Completed,"Fortress","Fortress: Objective #5","1","21:02:00","21:02:27",
Bot54,"Ромчик Костолом (HiddenCirno)",hard,1,Failed,"Garage","Garage: Objective #3","1","21:02:32","21:03:12",
Bot54,"Ромчик Костолом (HiddenCirno)",hard,1,Completed,"Garage","Garage: Objective #2","1","21:03:17","21:03:33",
Bot54,"Ромчик Костолом (HiddenCirno)",hard,1,Completed,"Garage","Garage: Objective #1","1","21:03:38","21:03:48",
Bot54,"Ромчик Костолом (HiddenCirno)",hard,1,Completed,"Crackhouse","Crackhouse: Objective #2","1","21:03:53","21:04:24",
Bot54,"Ромчик Костолом (HiddenCirno)",hard,1,Completed,"Crackhouse","Crackhouse: Objective #3","1","21:04:29","21:04:47",
Bot54,"Ромчик Костолом (HiddenCirno)",hard,1,Completed,"Crackhouse","Crackhouse: Objective #4","1","21:04:52","21:05:22",
Bot54,"Ромчик Костолом (HiddenCirno)",hard,1,Completed,"Crackhouse","Crackhouse: Objective #7","1","21:05:27","21:05:44",
Bot54,"Ромчик Костолом (HiddenCirno)",hard,1,Active,"Crackhouse","Crackhouse: Objective #1","1","21:05:49","N/A",
