Bot Name,Bot Nickname,Bot Difficulty,Bot Level,Assignment Status,Quest Name,Objective Name,Step Number,Start Time,End Time
Bot21,"Yakhmet",normal,14,Failed,"Shooting Cans","Zone Sandbox_2_AGS_exploration","1","05:45:12","05:46:10",
Bot29,"Cheese",normal,9,Failed,"Shooting Cans","Zone Sandbox_2_Kord_exploration","1","05:45:13","05:49:38",
Bot31,"Вантуз Красносельский (Kiki)",normal,1,Failed,"Capital Insight Quest Room Camping","Capital Insight Quest Room Camping: Objective #1","1","05:45:13","05:46:36",
Bot28,"bluehead",normal,6,Failed,"Capital Insight","Capital Insight: Objective #4","1","05:45:13","05:46:26",
Bot30,"Павел Повидло (Maksim Petrov)",normal,1,Active,"Kyshperski","Kyshperski: Objective #4","1","05:45:13","N/A",
Bot32,"Rhyufer",normal,3,Failed,"Underground South","Underground South: Objective #4","1","05:45:14","05:50:40",
Bot33,"aburiu",normal,12,Failed,"Capital Insight","Capital Insight: Objective #5","1","05:45:14","05:48:52",
Bot36,"Донатий Карась (Hupfi)",normal,1,Completed,"Kyshperski","Kyshperski: Objective #3","1","05:48:07","05:55:40",
Bot36,"Донатий Карась (Hupfi)",normal,1,Completed,"Kyshperski","Kyshperski: Objective #4","2","05:55:45","05:56:17",
Bot36,"Донатий Карась (Hupfi)",normal,1,Completed,"Kyshperski","Kyshperski: Objective #1","1","05:56:22","05:56:41",
Bot36,"Донатий Карась (Hupfi)",normal,1,Completed,"Olive Restaurant","Olive Restaurant: Objective #6","1","05:56:46","05:57:26",
Bot36,"Донатий Карась (Hupfi)",normal,1,Completed,"Olive Restaurant","Olive Restaurant: Objective #5","1","05:57:31","05:57:39",
Bot36,"Донатий Карась (Hupfi)",normal,1,Failed,"Olive Restaurant","Olive Restaurant: Objective #4","1","05:57:44","05:57:47",
