Bot Name,Bot Nickname,Bot Difficulty,Bot Level,Assignment Status,Quest Name,Objective Name,Step Number,Start Time,End Time
Bot43,"jonkler",normal,63,Failed,"Spawn Rush","Spawn Rush: Objective #1","1","22:25:06","22:25:17",
Bot42,"Nightingale",normal,42,Active,"Fortress","Fortress: Objective #4","1","22:25:06","N/A",
Bot46,"Пантелеймон Фторопласт (hacker228)",normal,4,Completed,"Fortress","Fortress: Objective #5","1","22:25:10","22:25:47",
Bot46,"Пантелеймон Фторопласт (hacker228)",normal,4,Completed,"Fortress","Fortress: Objective #7","1","22:25:52","22:26:16",
Bot46,"Пантелеймон Фторопласт (hacker228)",normal,4,Failed,"Fortress","Fortress: Objective #4","1","22:26:21","22:26:36",
Bot48,"vampuico",normal,73,Completed,"Big Red Rush","Big Red Rush: Objective #1","1","22:25:14","22:25:30",
Bot48,"vampuico",normal,73,Active,"Storage","Storage: Objective #2","1","22:25:35","N/A",
Bot49,"ThurmanMurman",normal,74,Pending,"Big Red Rush","Big Red Rush: Objective #1","1","22:25:14","N/A",
Bot55,"Nasc",normal,45,Active,"Big Red Rush","Big Red Rush: Objective #1","1","22:25:26","N/A",
Bot56,"Junko Space Mommy",normal,73,Pending,"Boss Hunter","Spawn Point (-335.6 0.3 -159.7)","1","22:25:26","N/A",
Bot58,"lualeet",normal,50,Pending,"Bullshit","Item Flash drive with fake info","1","22:25:26","N/A",
Bot57,"PhantomInTime",normal,17,Failed,"BP Depot","Zone fuel4","1","22:25:26","22:26:59",
