Bot Name,Bot Nickname,Bot Difficulty,Bot Level,Assignment Status,Quest Name,Objective Name,Step Number,Start Time,End Time
Bot1,"Дрон Арбидол (K4_a)",easy,1,Completed,"Terragroup Office","Terragroup Office: Objective #1","2","00:33:04","00:36:49",
Bot1,"Дрон Арбидол (K4_a)",easy,1,Completed,"Cardinal East Building","Cardinal East Building: Objective #1","1","00:36:54","00:38:12",
Bot1,"Дрон Арбидол (K4_a)",easy,1,Completed,"Cardinal East Building","Cardinal East Building: Objective #2","1","00:38:18","00:39:01",
Bot1,"Дрон Арбидол (K4_a)",easy,1,Completed,"Cardinal East Building","Cardinal East Building: Objective #3","2","00:39:07","00:39:56",
Bot1,"Дрон Арбидол (K4_a)",easy,1,Failed,"Terragroup Building","Terragroup Building: Objective #2","1","00:40:01","00:40:43",
Bot1,"Дрон Арбидол (K4_a)",easy,1,Completed,"Terragroup Building","Terragroup Building: Objective #1","2","00:40:48","00:41:17",
Bot1,"Дрон Арбидол (K4_a)",easy,1,Failed,"Terragroup Building","Terragroup Building: Objective #4","1","00:41:22","00:41:29",
Bot1,"Дрон Арбидол (K4_a)",easy,1,Completed,"Terragroup Building","Terragroup Building: Objective #3","1","00:41:34","00:41:49",
Bot1,"Дрон Арбидол (K4_a)",easy,1,Completed,"Underpass Stores","Underpass Stores: Objective #1","1","00:41:55","00:42:25",
Bot1,"Дрон Арбидол (K4_a)",easy,1,Pending,"Underpass Stores","Underpass Stores: Objective #3","1","00:42:30","N/A",
Bot4,"Слава Ресторатор (igorir3)",hard,1,Failed,"Petersen Center","Petersen Center: Objective #3","1","00:33:06","00:33:06",
Bot4,"Слава Ресторатор (igorir3)",hard,1,Failed,"Petersen Center","Petersen Center: Objective #1","1","00:33:11","00:33:11",
Bot4,"Слава Ресторатор (igorir3)",hard,1,Failed,"Petersen Center","Petersen Center: Objective #2","1","00:33:16","00:33:35",
Bot4,"Слава Ресторатор (igorir3)",hard,1,Pending,"Petersen Center","Petersen Center: Objective #4","1","00:33:40","N/A",
Bot6,"Паисий Месси (Props)",normal,1,Failed,"Lexos South Entry","Lexos South Entry: Objective #1","1","00:33:08","00:35:34",
Bot7,"Гоша Тихий (Thunderbags)",normal,1,Failed,"Lexos South Entry","Lexos South Entry: Objective #1","1","00:33:08","00:39:17",
Bot9,"oroku",normal,10,Failed,"Nikitskaya 6","Nikitskaya 6: Objective #7","1","00:33:08","00:34:49",
Bot11,"bitwarrior",normal,12,Failed,"The Hive","The Hive: Objective #1","1","00:33:08","00:35:13",
Bot10,"jonkler",normal,15,Pending,"Population Census","Item Housing office journal","1","00:33:08","N/A",
Bot12,"Virtual",normal,1,Failed,"Nikitskaya 6","Nikitskaya 6: Objective #7","1","00:33:08","00:38:57",
Bot13,"Ninjaweb",normal,10,Completed,"The Delicious Sausage","Zone quest_produkt2","1","00:33:08","00:36:14",
Bot13,"Ninjaweb",normal,10,Completed,"The Delicious Sausage","Zone quest_produkt4","1","00:36:19","00:41:20",
Bot13,"Ninjaweb",normal,10,Completed,"Concordia Basement","Concordia Basement: Objective #4","1","00:41:25","00:41:43",
Bot13,"Ninjaweb",normal,10,Completed,"Concordia Basement","Concordia Basement: Objective #1","1","00:41:49","00:42:05",
Bot13,"Ninjaweb",normal,10,Active,"Concordia Basement","Concordia Basement: Objective #2","2","00:42:11","N/A",
Bot14,"nidhoeggr",normal,3,Failed,"Lexos Offices","Lexos Offices: Objective #3","1","00:33:09","00:35:31",
Bot15,"Vega",normal,16,Pending,"Boss Hunter","Spawn Point (58.6 11.9 309.9)","1","00:33:09","N/A",
Bot28,"Яков Мамкин (Ngst)",easy,1,Pending,"Pinewood Hotel Main Entrance","Pinewood Hotel Main Entrance: Objective #2","1","00:36:35","N/A",
Bot29,"Пантелеймон Цинк (InternalError_)",hard,1,Failed,"Terragroup Building","Terragroup Building: Objective #4","1","00:37:28","00:37:48",
Bot29,"Пантелеймон Цинк (InternalError_)",hard,1,Completed,"Terragroup Building","Terragroup Building: Objective #1","2","00:37:53","00:38:51",
Bot29,"Пантелеймон Цинк (InternalError_)",hard,1,Completed,"Terragroup Building","Terragroup Building: Objective #3","1","00:38:56","00:39:08",
Bot29,"Пантелеймон Цинк (InternalError_)",hard,1,Failed,"Terragroup Building","Terragroup Building: Objective #2","1","00:39:13","00:39:22",
Bot29,"Пантелеймон Цинк (InternalError_)",hard,1,Failed,"Beluga","Beluga: Objective #6","1","00:39:27","00:40:34",
Bot29,"Пантелеймон Цинк (InternalError_)",hard,1,Active,"Beluga","Beluga: Objective #1","5","00:40:39","N/A",
Bot32,"Терентий Костолом (BaddestDragon)",hard,1,Pending,"Cinema Hideout","Cinema Hideout: Objective #1","1","00:39:11","N/A",
Bot44,"Мишган Резолв (GrooveypenguinX)",easy,1,Pending,"Beluga","Beluga: Objective #2","1","00:41:31","N/A",
Bot41,"Виктор Саранск (ChiNoel)",easy,1,Active,"Primorsky Locked Apartment","Primorsky Locked Apartment: Objective #4","1","00:41:31","N/A",
Bot45,"svbtext",normal,12,Active,"Pharmancy #2","Pharmancy #2: Objective #1","1","00:41:42","N/A",
Bot47,"Solarint",normal,12,Pending,"The Delicious Sausage","Zone quest_produkt2","1","00:41:42","N/A",
Bot46,"JustAShepard",normal,16,Pending,"Lexos Offices","Lexos Offices: Objective #3","1","00:41:43","N/A",
