Bot Name,Bot Nickname,Bot Difficulty,Bot Level,Assignment Status,Quest Name,Objective Name,Step Number,Start Time,End Time
Bot83,"Baliston",hard,8,Failed,"Shooting Cans","Zone Sandbox_2_Kord_exploration","1","04:29:42","04:30:11",
Bot84,"IhanaMies",hard,10,Active,"Shooting Cans","Zone Sandbox_2_Kord_exploration","1","04:29:42","N/A",
Bot85,"Klinical",hard,16,Completed,"Shooting Cans","Zone Sandbox_2_AGS_exploration","1","04:29:42","04:30:21",
Bot85,"Klinical",hard,16,Active,"Shooting Cans","Zone Sandbox_2_Kord_exploration","1","04:30:27","N/A",
Bot87,"Logical Solutions",easy,12,Failed,"First in Line","Zone Sandbox_1_MedicalArea_exploration","1","04:29:44","04:29:52",
Bot87,"Logical Solutions",easy,12,Completed,"Emercom Checkpoint","Emercom Checkpoint: Objective #1","1","04:29:57","04:30:11",
Bot87,"Logical Solutions",easy,12,Completed,"Emercom Checkpoint","Emercom Checkpoint: Objective #2","2","04:30:16","04:31:03",
Bot87,"Logical Solutions",easy,12,Pending,"Saving the Mole","Zone Sandbox_5_DeadGroup_exploration","1","04:31:08","N/A",
Bot88,"halik92",easy,19,Pending,"First in Line","Zone Sandbox_1_MedicalArea_exploration","1","04:29:44","N/A",
Bot89,"Сава Фургон (Reis)",easy,1,Completed,"Oasis","Oasis: Objective #1","1","04:29:49","04:30:49",
Bot89,"Сава Фургон (Reis)",easy,1,Completed,"Oasis","Oasis: Objective #2","1","04:30:54","04:31:07",
Bot89,"Сава Фургон (Reis)",easy,1,Active,"Stairs Near Tartowers","Stairs Near Tartowers: Objective #2","1","04:31:12","N/A",
Bot93,"Радж Сладкоежка (kova)",normal,1,Pending,"Capital Insight","Capital Insight: Objective #5","1","04:29:57","N/A",
Bot94,"Ваха Спартаковский (Boop)",normal,1,Pending,"Capital Insight Quest Room Camping","Capital Insight Quest Room Camping: Objective #1","1","04:29:57","N/A",
