Bot Name,Bot Nickname,Bot Difficulty,Bot Level,Assignment Status,Quest Name,Objective Name,Step Number,Start Time,End Time
Bot19,"nooky",hard,20,Pending,"Underpass Stores","Underpass Stores: Objective #2","1","18:43:41","N/A",
Bot18,"Fontaine",hard,3,Completed,"Underpass Stores","Underpass Stores: Objective #2","1","18:43:41","18:43:53",
Bot18,"Fontaine",hard,3,Completed,"Underpass Stores","Underpass Stores: Objective #3","1","18:43:58","18:44:44",
Bot18,"Fontaine",hard,3,Completed,"Underpass Stores","Underpass Stores: Objective #1","1","18:44:49","18:44:58",
Bot18,"Fontaine",hard,3,Completed,"Primorsky Locked Apartment","Primorsky Locked Apartment: Objective #4","1","18:45:03","18:47:36",
Bot18,"Fontaine",hard,3,Completed,"Primorsky Locked Apartment","Primorsky Locked Apartment: Objective #2","1","18:47:41","18:47:53",
Bot18,"Fontaine",hard,3,Completed,"Primorsky Locked Apartment","Primorsky Locked Apartment: Objective #1","1","18:47:58","18:48:05",
Bot18,"Fontaine",hard,3,Completed,"Primorsky Locked Apartment","Primorsky Locked Apartment: Objective #3","1","18:48:10","18:48:16",
Bot18,"Fontaine",hard,3,Completed,"Coffee Joy","Coffee Joy: Objective #1","1","18:48:21","18:48:56",
Bot18,"Fontaine",hard,3,Completed,"Coffee Joy","Coffee Joy: Objective #2","1","18:49:01","18:49:14",
Bot18,"Fontaine",hard,3,Failed,"Coffee Joy","Coffee Joy: Objective #3","1","18:49:19","18:56:00",
Bot20,"Агафон Метанол (gaylatea)",hard,1,Failed,"Finance Building","Finance Building: Objective #4","1","18:43:41","18:45:24",
Bot20,"Агафон Метанол (gaylatea)",hard,1,Failed,"Finance Building","Finance Building: Objective #3","1","18:45:29","18:46:13",
Bot20,"Агафон Метанол (gaylatea)",hard,1,Failed,"Finance Building","Finance Building: Objective #1","1","18:46:19","18:46:19",
Bot20,"Агафон Метанол (gaylatea)",hard,1,Completed,"Finance Building","Finance Building: Objective #2","1","18:46:24","18:46:44",
Bot20,"Агафон Метанол (gaylatea)",hard,1,Completed,"Pinewood Hotel Sparja","Pinewood Hotel Sparja: Objective #1","1","18:46:49","18:48:11",
Bot20,"Агафон Метанол (gaylatea)",hard,1,Completed,"Pinewood Hotel Sparja","Pinewood Hotel Sparja: Objective #2","1","18:48:16","18:48:32",
Bot20,"Агафон Метанол (gaylatea)",hard,1,Completed,"Pinewood Hotel Sparja","Pinewood Hotel Sparja: Objective #3","1","18:48:37","18:49:01",
Bot20,"Агафон Метанол (gaylatea)",hard,1,Completed,"Pinewood Hotel Sparja","Pinewood Hotel Sparja: Objective #4","1","18:49:06","18:49:26",
Bot20,"Агафон Метанол (gaylatea)",hard,1,Completed,"Pinewood Hotel Sparja","Pinewood Hotel Sparja: Objective #5","1","18:49:31","18:49:47",
Bot20,"Агафон Метанол (gaylatea)",hard,1,Active,"Primorksy 46","Primorksy 46: Objective #7","1","18:49:52","N/A",
Bot27,"GeorgRavioli",easy,7,Pending,"Bilbo Coffee","Bilbo Coffee: Objective #1","1","18:47:28","N/A",
Bot26,"SirTyler",easy,2,Failed,"Russian Real Estate Fund","Russian Real Estate Fund: Objective #4","1","18:47:28","18:47:38",
Bot26,"SirTyler",easy,2,Completed,"Russian Real Estate Fund","Russian Real Estate Fund: Objective #1","1","18:47:44","18:47:54",
Bot26,"SirTyler",easy,2,Completed,"Russian Real Estate Fund","Russian Real Estate Fund: Objective #2","1","18:47:59","18:48:08",
Bot26,"SirTyler",easy,2,Completed,"Russian Real Estate Fund","Russian Real Estate Fund: Objective #6","1","18:48:13","18:48:28",
Bot26,"SirTyler",easy,2,Completed,"Russian Real Estate Fund","Russian Real Estate Fund: Objective #5","1","18:48:33","18:48:43",
Bot26,"SirTyler",easy,2,Completed,"Russian Real Estate Fund","Russian Real Estate Fund: Objective #3","1","18:48:48","18:48:58",
Bot26,"SirTyler",easy,2,Active,"Petersen Center","Petersen Center: Objective #4","1","18:49:03","N/A",
Bot28,"TEOA",easy,17,Completed,"The Delicious Sausage","Zone quest_produkt1","1","18:48:21","18:48:37",
Bot28,"TEOA",easy,17,Active,"The Delicious Sausage","Zone quest_produkt3","1","18:48:42","N/A",
Bot30,"Cannuccia",easy,23,Pending,"Pets Won't Need It - Part 2","Zone Pharma_2","1","18:48:21","N/A",
Bot29,"AcidPhantasm",easy,8,Pending,"The Delicious Sausage","Zone quest_produkt1","1","18:48:21","N/A",
