Bot Name,Bot Nickname,Bot Difficulty,Bot Level,Assignment Status,Quest Name,Objective Name,Step Number,Start Time,End Time
Bot2,"Barlog_M",easy,17,Completed,"Make Amends","Item Secure Flash drive V3","1","18:38:26","18:38:35",
Bot2,"Barlog_M",easy,17,Failed,"USEC Camp Building 1 Rush","USEC Camp Building 1 Rush: Objective #1","1","18:38:40","18:46:18",
Bot6,"Revingly",hard,8,Pending,"USEC Camp Building 2","USEC Camp Building 2: Objective #5","1","18:38:30","N/A",
Bot7,"Clerance",hard,12,Pending,"Broadcast - Part 1","Zone qlight_extension_mechanik1_exploration1","1","18:38:30","N/A",
Bot14,"ANIME",hard,7,Pending,"USEC Camp Building 2 Roof","USEC Camp Building 2 Roof: Objective #1","1","18:38:40","N/A",
Bot13,"Security-Sama",hard,5,Completed,"Make Amends","Item Secure Flash drive V3","1","18:38:40","18:43:38",
Bot13,"Security-Sama",hard,5,Failed,"USEC Camp Entrance Tents","USEC Camp Entrance Tents: Objective #3","1","18:43:43","18:45:18",
Bot19,"Илюша Бритва (Skeeze)",hard,1,Completed,"Main Road Bridge Underpass","Main Road Bridge Underpass: Objective #1","1","18:42:03","18:43:09",
Bot19,"Илюша Бритва (Skeeze)",hard,1,Active,"USEC Camp Road East Building","USEC Camp Road East Building: Objective #1","1","18:43:14","N/A",
