Bot Name,Bot Nickname,Bot Difficulty,Bot Level,Assignment Status,Quest Name,Objective Name,Step Number,Start Time,End Time
Bot1,"epidemicz",normal,21,Failed,"Boss Hunter","Spawn Point (175.1 17.0 2.2)","1","03:37:11","03:38:54",
Bot2,"MusicManiac",hard,14,Active,"Underground Utility Room","Underground Utility Room: Objective #1","1","03:37:12","N/A",
Bot3,"Fiaf",hard,19,Failed,"Boss Hunter","Spawn Point (104.5 33.4 107.5)","1","03:37:12","03:40:06",
Bot4,"Саня Скульптор (RyuAzuku)",easy,1,Failed,"Tarbank","Tarbank: Objective #5","1","03:37:12","03:37:53",
Bot4,"Саня Скульптор (RyuAzuku)",easy,1,Completed,"Tarbank","Tarbank: Objective #6","1","03:37:58","03:38:10",
Bot4,"Саня Скульптор (RyuAzuku)",easy,1,Completed,"Tarbank","Tarbank: Objective #4","1","03:38:15","03:38:44",
Bot4,"Саня Скульптор (RyuAzuku)",easy,1,Completed,"Tarbank","Tarbank: Objective #1","1","03:38:49","03:39:13",
Bot4,"Саня Скульптор (RyuAzuku)",easy,1,Completed,"Tarbank","Tarbank: Objective #2","1","03:39:18","03:39:29",
Bot4,"Саня Скульптор (RyuAzuku)",easy,1,Completed,"Tarbank","Tarbank: Objective #3","1","03:39:35","03:40:48",
Bot4,"Саня Скульптор (RyuAzuku)",easy,1,Completed,"Tarbank Upstairs","Tarbank Upstairs: Objective #1","1","03:40:53","03:41:23",
Bot4,"Саня Скульптор (RyuAzuku)",easy,1,Active,"Tarbank Upstairs","Tarbank Upstairs: Objective #3","2","03:41:28","N/A",
Bot12,"Zmyh",normal,2,Failed,"Saving the Mole","Zone Sandbox_5_DeadGroup_exploration","1","03:37:14","03:42:13",
Bot13,"Rena-chan",normal,4,Pending,"Saving the Mole","Zone Sandbox_5_DeadGroup_exploration","1","03:37:14","N/A",
Bot11,"Kronzky",normal,15,Completed,"Saving the Mole","Zone Sandbox_5_DeadGroup_exploration","1","03:37:15","03:38:09",
Bot11,"Kronzky",normal,15,Failed,"Saving the Mole","Zone Sandbox_5_Laborant_exploration","1","03:38:14","03:39:11",
Bot11,"Kronzky",normal,15,Failed,"Saving the Mole","Zone Sandbox_5_Office_exploration","1","03:39:16","03:40:24",
