Bot Name,Bot Nickname,Bot Difficulty,Bot Level,Assignment Status,Quest Name,Objective Name,Step Number,Start Time,End Time
Bot3,"Давид Дизайнер (Bobitec)",normal,1,Completed,"Skyside Hotel","Skyside Hotel: Objective #5","1","18:12:00","18:12:05",
Bot3,"Давид Дизайнер (Bobitec)",normal,1,Completed,"Skyside Hotel","Skyside Hotel: Objective #4","1","18:12:10","18:13:24",
Bot3,"Давид Дизайнер (Bobitec)",normal,1,Completed,"Skyside Hotel","Skyside Hotel: Objective #3","1","18:13:29","18:14:18",
Bot3,"Давид Дизайнер (Bobitec)",normal,1,Completed,"Skyside Hotel","Skyside Hotel: Objective #1","1","18:14:23","18:14:45",
Bot3,"Давид Дизайнер (Bobitec)",normal,1,Completed,"Skyside Hotel","Skyside Hotel: Objective #2","1","18:14:51","18:15:04",
Bot3,"Давид Дизайнер (Bobitec)",normal,1,Completed,"Mira Avenue Benches","Mira Avenue Benches: Objective #2","1","18:15:09","18:15:18",
Bot3,"Давид Дизайнер (Bobitec)",normal,1,Completed,"Mira Avenue Benches","Mira Avenue Benches: Objective #1","1","18:15:23","18:15:40",
Bot3,"Давид Дизайнер (Bobitec)",normal,1,Failed,"Underground Utility Room","Underground Utility Room: Objective #1","1","18:15:45","18:18:19",
Bot3,"Давид Дизайнер (Bobitec)",normal,1,Completed,"Underground Entrance","Underground Entrance: Objective #1","1","18:18:25","18:18:35",
Bot3,"Давид Дизайнер (Bobitec)",normal,1,Completed,"Underground Entrance","Underground Entrance: Objective #2","1","18:18:40","18:18:51",
Bot3,"Давид Дизайнер (Bobitec)",normal,1,Completed,"Underground Entrance","Underground Entrance: Objective #3","1","18:18:56","18:19:52",
Bot3,"Давид Дизайнер (Bobitec)",normal,1,Failed,"Olive Restaurant","Olive Restaurant: Objective #1","1","18:19:57","18:24:49",
Bot1,"Waffle",normal,8,Completed,"Shooting Cans","Zone Sandbox_2_AGS_exploration","1","18:12:00","18:12:04",
Bot1,"Waffle",normal,8,Failed,"Shooting Cans","Zone Sandbox_2_Kord_exploration","1","18:12:09","18:15:33",
Bot1,"Waffle",normal,8,Failed,"Luxurious Life","Zone Sandbox_3_Vino_exploration","1","18:12:33","18:15:33",
Bot1,"Waffle",normal,8,Failed,"Luxurious Life","Item Bottle of Le Jean wine","1","18:12:55","18:15:33",
Bot1,"Waffle",normal,8,Completed,"Capital Insight Stairwell Camping","Capital Insight Stairwell Camping: Objective #1","2","18:13:15","18:14:11",
Bot1,"Waffle",normal,8,Failed,"Olive Restaurant","Olive Restaurant: Objective #6","1","18:14:16","18:15:33",
